sample_id,age_BP,d18O,d18O_precision,d13C,d13C_precision
199900,125293.8102,-6.762,0.001,-11.47068,5e-04
199901,125433.489,-6.9104,0.001,-10.876,5e-04
199902,125566.6477,-7.0562,0.001,-11.414,5e-04
199903,125705.1254,-7.28,0.001,-11.909,5e-04
199904,125839.7974,-7.26836,0.001,-12.0252,5e-04
199905,125963.2796,-7.7378,0.001,-12.384,5e-04
199906,126022.5461,-7.6626,0.001,-12.427,5e-04
199907,126086.4798,-7.24816,0.001,-11.8594,5e-04
199908,126149.7375,-7.4288,0.001,-12.319,5e-04
199909,126209.1605,-7.5116,0.001,-12.399,5e-04
199910,126270.0435,-7.6224,0.001,-12.375,5e-04
199911,126312.0942,-7.3142,0.001,-12.063,5e-04
199912,126350.7887,-7.432,0.001,-12.136,5e-04
199913,126387.9527,-7.3988,0.001,-11.829,5e-04
199914,126428.1822,-7.4632,0.001,-11.552,5e-04
199915,126467.088,-7.07396,0.001,-11.9376,5e-04
199916,126502.8958,-7.2658,0.001,-11.515,5e-04
199917,126541.3362,-7.0396,0.001,-11.752,5e-04
199918,126583.2275,-7.1534,0.001,-11.738,5e-04
199919,126625.9869,-7.1072,0.001,-11.679,5e-04
199920,126660.4321,-6.767,0.001,-10.985,5e-04
199921,126698.4829,-7.1644,0.001,-11.728,5e-04
199922,126739.8982,-7.0462,0.001,-11.356,5e-04
199923,126778.1294,-6.72,0.001,-11.277,5e-04
199924,126815.9588,-7.3078,0.001,-12.132,5e-04
199925,126850.4375,-7.4666,0.001,-12.231,5e-04
199926,126881.0012,-7.4344,0.001,-12.147,5e-04
199927,126914.7918,-7.2802,0.001,-11.961,5e-04
199928,126953.4512,-7.3641,0.001,-12.14805,5e-04
199929,127051.3276,-7.3518,0.001,-12.01355,5e-04
199930,127152.9559,-7.2435,0.001,-11.80905,5e-04
199931,127253.5925,-7.1272,0.001,-11.87455,5e-04
199932,127354.432,-7.5819,0.001,-12.15805,5e-04
199933,127441.7142,-7.2426,0.001,-11.90855,5e-04
199934,127533.2985,-7.37808,0.001,-12.20938,5e-04
199935,127623.1516,-7.3603,0.001,-12.20105,5e-04
199936,127711.2848,-7.2914,0.001,-12.21655,5e-04
199937,127796.765,-7.4451,0.001,-12.44605,5e-04
199938,127878.3332,-7.85408,0.001,-12.39888,5e-04
199939,127960.8454,-7.3345,0.001,-12.17905,5e-04
199940,128037.5949,-7.0592,0.001,-11.88955,5e-04
199941,128109.8406,-7.0219,0.001,-11.80405,5e-04
199942,128199.4499,-7.0219,0.001,-11.80405,5e-04
