sample_id,depth_mm,age_BP,d18O,d18O_prec,Mg_Ca,Mg_Ca_prec
459736,262.5,22084.5,-1.55,0.08,0.8,NA
459737,263.5,22099.5,-1.36,0.08,0.84,NA
459738,264.5,22114.4,-1.48,0.08,0.7,NA
459739,265.5,22129,-1.61,0.08,0.87,NA
459740,266.5,22143.3,-0.86,0.08,0.86,NA
459741,267.5,22157.5,-1.08,0.08,0.77,NA
459742,268.5,22171.8,-1.1,0.08,0.72,NA
459743,269.5,22186.4,-1.43,0.08,0.77,NA
459744,270.5,22201.2,-1.26,0.08,0.9,NA
459745,271.5,22215.7,-1.02,0.08,0.84,NA
459746,272.5,22229.8,-1.04,0.08,0.85,NA
459747,273.5,22244,-1.09,0.08,0.95,NA
459748,274.5,22258.2,-0.77,0.08,0.86,NA
459749,275.5,22272.4,-0.62,0.08,0.77,NA
459750,276.5,22286.4,-1.2,0.08,0.87,NA
459751,277.5,22300.4,-1.35,0.08,0.74,NA
459752,278.5,22314.3,-1.79,0.08,0.76,NA
459753,279.5,22328.2,-1.46,0.08,0.84,NA
459754,280.5,22341.9,-1.08,0.08,1,NA
459755,281.5,22355.6,-0.83,0.08,0.78,NA
459756,282.5,22369.5,-0.82,0.08,0.92,NA
459757,283.5,22383.5,-0.81,0.08,0.79,NA
459758,284.5,22397.6,-1.37,0.08,0.8,NA
459759,285.5,22411.6,-1.22,0.08,0.84,NA
459760,286.5,22425.5,-1.3,0.08,0.88,NA
459761,287.5,22439.4,-1.25,0.08,0.81,NA
459762,288.5,22453.4,-1.07,0.08,0.78,NA
459763,289.5,22467.6,-1.13,0.08,0.85,NA
459764,290.5,22481.9,-1.34,0.08,0.78,NA
459765,291.5,22495.9,-1.37,0.08,0.82,NA
459766,292.5,22509.8,-0.96,0.08,0.87,NA
459767,293.5,22523.7,-1.22,0.08,0.8,NA
459768,294.5,22537.9,-1.1,0.08,0.8,NA
459769,295.5,22552,-1.55,0.08,0.88,NA
459770,296.5,22566.2,-1.48,0.08,0.86,NA
459771,297.5,22580.3,-1.23,0.08,0.9,NA
459772,298.5,22594.3,-1.08,0.08,0.83,NA
459773,299.5,22608.4,-1.13,0.08,0.87,NA
459774,300.5,22622.5,-1.28,0.08,0.93,NA
459775,301.5,22636.8,-1.13,0.08,0.88,NA
459776,302.5,22651.2,-1.26,0.08,0.89,NA
459777,303.5,22665.6,-1.36,0.08,0.91,NA
459778,304.5,22679.9,-1.38,0.08,0.88,NA
459779,305.5,22694.2,-1.29,0.08,0.99,NA
459780,306.5,22708.6,-1.55,0.08,0.76,NA
459781,307.5,22723,-1.38,0.08,0.9,NA
459782,308.5,22737.5,-1.49,0.08,0.84,NA
459783,309.5,22752,-1.41,0.08,0.88,NA
459784,310.5,22766.6,-1.57,0.08,0.89,NA
459785,311.5,22781.2,-1.44,0.08,0.96,NA
459786,312.5,22795.9,-1.31,0.08,1.02,NA
459787,313.5,22810.4,-1.27,0.08,1.07,NA
459788,314.5,22824.7,-1.26,0.08,1.01,NA
459789,315.5,22839.1,-1.05,0.08,NA,NA
459790,316.5,22853.6,-0.18,0.08,1.04,NA
459791,317.5,22868.1,-1.3,0.08,1,NA
459792,318.5,22883.6,-0.66,0.08,1.03,NA
459793,319.5,22901.8,-0.8,0.08,0.96,NA
459794,320.5,22922.8,-1.09,0.08,1.08,NA
459795,321.5,22945.2,-1.01,0.08,1.12,NA
459796,322.5,22966.3,-0.82,0.08,1.09,NA
