sample_id,depth_mm,age_BP,d18O,d18O_prec
295406,52.8,4439.7,-2.49,0.08
295407,53,4449.9,-2.49,0.08
295408,53.2,4460,-2.73,0.08
295409,53.4,4470.2,-2.85,0.08
295410,53.6,4480.4,-2.53,0.08
295411,53.8,4490.6,-2.55,0.08
295412,54,4500.8,-2.47,0.08
295413,54.2,4511.1,-2.54,0.08
295414,54.4,4521.3,-2.39,0.08
295415,54.6,4531.6,-2.32,0.08
295416,54.8,4541.8,-2.15,0.08
295417,55,4552.1,-2.16,0.08
295418,55.2,4562.3,-2.18,0.08
295419,55.4,4572.5,-2.25,0.08
295420,55.6,4582.7,-2.05,0.08
295421,55.8,4592.8,-1.87,0.08
295422,56,4602.9,-1.94,0.08
295423,56.2,4612.9,-1.89,0.08
295424,56.4,4622.9,-1.93,0.08
295425,56.6,4632.8,-2.2,0.08
295426,56.8,4642.7,-2.39,0.08
295427,57,4652.6,-2.46,0.08
295428,57.2,4662.5,-2.54,0.08
295429,57.4,4672.3,-2.79,0.08
295430,57.6,4682.2,-2.98,0.08
295431,57.8,4692.1,-2.9,0.08
295432,58,4702,-3.01,0.08
295433,58.2,4711.9,-2.97,0.08
295434,58.4,4721.9,-2.99,0.08
295435,58.6,4731.9,-2.84,0.08
295436,58.8,4741.9,-2.87,0.08
295437,59,4751.9,-2.51,0.08
295438,59.2,4762,-2.61,0.08
295439,59.4,4772,-2.63,0.08
295440,59.6,4782.1,-2.58,0.08
295441,59.8,4792.2,-2.66,0.08
295442,60,4802.2,-2.71,0.08
295443,60.2,4812.3,-2.98,0.08
295444,60.4,4822.3,-2.98,0.08
295445,60.6,4832.3,-2.9,0.08
295446,60.8,4842.3,-2.8,0.08
295447,61,4852.4,-3.01,0.08
295448,61.2,4862.4,-2.83,0.08
295449,61.4,4872.4,-2.76,0.08
295450,61.6,4882.4,-2.56,0.08
295451,61.8,4892.4,-2.84,0.08
295452,62,4902.4,-2.78,0.08
295453,62.2,4912.4,-2.66,0.08
295454,62.4,4922.4,-2.41,0.08
295455,62.6,4932.4,-2.33,0.08
295456,62.8,4942.4,-2.34,0.08
295457,63,4952.4,-2.24,0.08
295458,63.2,4962.5,-2.41,0.08
295459,63.4,4972.5,-2.41,0.08
295460,63.6,4982.6,-2.46,0.08
295461,63.8,4992.7,-2.43,0.08
295462,64,5002.8,-2.48,0.08
295463,64.2,5012.9,-2.38,0.08
295464,64.4,5023.1,-2.35,0.08
295465,64.6,5033.2,-2.31,0.08
295466,64.8,5043.4,-2.34,0.08
295467,65,5053.6,-2.4,0.08
295468,65.2,5063.8,-2.4,0.08
295469,65.4,5074,-2.24,0.08
295470,65.6,5084.2,-2.13,0.08
295471,65.8,5094.4,-2.25,0.08
295472,66,5104.5,-2.22,0.08
295473,66.2,5114.7,-2.46,0.08
295474,66.4,5124.9,-2.24,0.08
295475,66.6,5135.1,-2.22,0.08
295476,66.8,5145.3,-2.28,0.08
295477,67,5155.5,-2.22,0.08
295478,67.2,5165.8,-2.14,0.08
295479,67.4,5176.2,-2.15,0.08
295480,67.6,5186.7,-2.25,0.08
295481,67.8,5197.3,-2.23,0.08
295482,68,5208,-2.45,0.08
295483,68.2,5218.8,-2.5,0.08
295484,68.4,5229.7,-2.48,0.08
295485,68.6,5240.7,-2.46,0.08
295486,68.8,5251.8,-2.6,0.08
295487,69,5263,-2.59,0.08
295488,69.2,5274.2,-2.68,0.08
295489,69.4,5285.5,-2.58,0.08
295490,69.6,5296.8,-2.65,0.08
295491,69.8,5308.1,-2.63,0.08
295492,70,5319.3,-2.7,0.08
295493,70.2,5330.6,-2.62,0.08
295494,70.4,5341.9,-2.45,0.08
295495,70.6,5353.1,-2.39,0.08
295496,70.8,5364.4,-2.25,0.08
295497,71,5375.6,-2.43,0.08
295498,71.2,5386.8,-2.41,0.08
295499,71.4,5398,-2.52,0.08
295500,71.6,5409.2,-2.6,0.08
295501,71.8,5420.4,-2.56,0.08
295502,72,5431.7,-2.68,0.08
295503,72.2,5442.9,-2.6,0.08
295504,72.4,5454.1,-2.71,0.08
295505,72.6,5465.2,-2.84,0.08
295506,72.8,5476.2,-3.04,0.08
295507,73,5486.9,-2.91,0.08
295508,73.2,5497.5,-2.79,0.08
295509,73.4,5507.8,-2.94,0.08
295510,73.6,5517.7,-2.74,0.08
295511,73.8,5527.3,-2.79,0.08
295512,74,5536.4,-3.14,0.08
295513,74.2,5545.1,-2.85,0.08
295514,74.4,5553.6,-2.9,0.08
295515,74.6,5562.1,-2.95,0.08
295516,74.8,5570.7,-2.74,0.08
295517,75,5579.9,-2.74,0.08
295518,75.2,5589.7,-2.7,0.08
295519,75.4,5600.5,-2.98,0.08
295520,75.6,5612.4,-2.96,0.08
295521,75.8,5625.7,-2.9,0.08
295522,76,5640.6,-3.07,0.08
295523,76.2,5657.3,-3.08,0.08
295524,76.4,5675.7,-2.98,0.08
295525,76.6,5695.5,-3.02,0.08
295526,76.8,5716.7,-2.92,0.08
295527,77,5738.9,-2.99,0.08
295528,77.2,5761.9,-3.08,0.08
295529,77.4,5785.7,-2.99,0.08
295530,77.6,5810,-3,0.08
295531,77.8,5834.6,-2.99,0.08
295532,78,5859.3,-2.97,0.08
295533,78.2,5884,-2.99,0.08
295534,78.4,5908.4,-2.9,0.08
295535,78.6,5932.3,-2.89,0.08
295536,78.8,5955.6,-3.12,0.08
295537,79,5978.2,-2.86,0.08
295538,79.2,5999.7,-2.72,0.08
295539,79.4,6020.1,-2.85,0.08
295540,79.6,6039.1,-2.89,0.08
295541,79.8,6056.6,-3.02,0.08
295542,80,6072.4,-3.08,0.08
295543,80.2,6086.4,-3.08,0.08
295544,80.4,6098.7,-3.06,0.08
295545,80.6,6109.4,-3.04,0.08
295546,80.8,6118.9,-3.05,0.08
295547,81,6127.2,-3.1,0.08
295548,81.2,6134.5,-3.16,0.08
295549,81.4,6141.1,-2.98,0.08
295550,81.6,6147.2,-3.26,0.08
295551,81.8,6152.9,-3.29,0.08
295552,82,6158.3,-3.28,0.08
295553,82.2,6163.8,-3.13,0.08
295554,82.4,6169.2,-3.24,0.08
295555,82.6,6174.6,-3.13,0.08
295556,82.8,6180,-3.07,0.08
295557,83.2,6190.7,-3.18,0.08
295558,83.4,6196,-3.13,0.08
295559,83.6,6201.3,-3.19,0.08
295560,83.8,6206.4,-3.29,0.08
295561,84,6211.5,-3.31,0.08
295562,84.2,6216.6,-2.99,0.08
295563,84.4,6221.5,-2.97,0.08
295564,84.6,6226.5,-3.15,0.08
295565,84.8,6231.4,-3,0.08
295566,85,6236.3,-3.19,0.08
295567,85.2,6241.2,-3.17,0.08
295568,85.4,6246.2,-3.03,0.08
295569,85.6,6251.2,-3,0.08
295570,85.8,6256.3,-3.02,0.08
295571,86,6261.5,-2.95,0.08
295572,86.2,6266.8,-3.15,0.08
295573,86.4,6272.3,-3.13,0.08
295574,86.6,6277.7,-3.09,0.08
295575,86.8,6283.3,-3.11,0.08
295576,87,6288.9,-3.4,0.08
295577,87.2,6294.6,-2.93,0.08
295578,87.4,6300.3,-3.03,0.08
295579,87.6,6306,-2.97,0.08
295580,87.8,6311.8,-3.01,0.08
295581,88,6317.5,-3.08,0.08
295582,88.2,6323.2,-2.93,0.08
295583,88.4,6328.9,-3.04,0.08
295584,88.6,6334.6,-3.24,0.08
295585,88.8,6340.2,-2.89,0.08
295586,89,6345.9,-2.91,0.08
295587,89.2,6351.5,-3.02,0.08
295588,89.4,6357.1,-2.85,0.08
295589,89.6,6362.7,-2.87,0.08
295590,89.8,6368.3,-3.17,0.08
295591,90,6373.9,-3.16,0.08
295592,90.2,6379.4,-3,0.08
295593,90.4,6385,-3.1,0.08
295594,90.6,6390.5,-3,0.08
295595,90.8,6396.1,-3.08,0.08
295596,91,6401.6,-3.59,0.08
295597,91.2,6407,-3.56,0.08
295598,91.4,6412.5,-3.02,0.08
295599,91.6,6417.9,-3.58,0.08
295600,91.8,6423.2,-3.32,0.08
295601,92,6428.5,-2.93,0.08
295602,92.2,6433.8,-2.87,0.08
295603,92.4,6439,-3.2,0.08
295604,92.6,6444.2,-3.07,0.08
295605,92.8,6449.3,-3.08,0.08
295606,93,6454.5,-2.97,0.08
295607,93.2,6459.6,-2.93,0.08
295608,93.4,6464.7,-2.93,0.08
295609,93.6,6469.8,-2.94,0.08
295610,93.8,6474.9,-2.79,0.08
295611,94,6480,-2.87,0.08
295612,94.2,6485.1,-2.82,0.08
295613,94.4,6490.2,-2.77,0.08
295614,94.6,6495.4,-3.03,0.08
295615,94.8,6500.5,-2.86,0.08
295616,95,6505.6,-2.78,0.08
295617,95.2,6510.6,-2.86,0.08
295618,95.4,6515.6,-2.94,0.08
295619,95.6,6520.6,-2.95,0.08
295620,95.8,6525.5,-3.03,0.08
295621,96,6530.3,-3.02,0.08
295622,96.2,6535,-3.42,0.08
295623,96.4,6539.7,-3.28,0.08
295624,96.6,6544.3,-3.11,0.08
295625,96.8,6548.8,-3.2,0.08
295626,97,6553.3,-3.16,0.08
295627,97.2,6557.8,-3.19,0.08
295628,97.4,6562.2,-3.26,0.08
295629,97.6,6566.7,-3.13,0.08
295630,97.8,6571.1,-3.02,0.08
295631,98,6575.6,-3.24,0.08
295632,98.2,6580,-3.08,0.08
295633,98.4,6584.5,-3.15,0.08
295634,98.6,6589,-3.06,0.08
295635,98.8,6593.5,-3.04,0.08
295636,99,6598.1,-3.08,0.08
295637,99.2,6602.7,-3.05,0.08
295638,99.4,6607.3,-3.03,0.08
295639,99.6,6611.9,-2.98,0.08
295640,99.8,6616.6,-2.86,0.08
295641,100,6621.2,-2.76,0.08
295642,100.2,6625.9,-2.85,0.08
295643,100.4,6630.7,-2.95,0.08
295644,100.6,6635.5,-3.13,0.08
295645,100.8,6640.3,-3.15,0.08
295646,101,6645.1,-2.89,0.08
295647,101.2,6650,-3.12,0.08
295648,101.4,6655,-2.84,0.08
295649,101.6,6660,-2.91,0.08
295650,101.8,6665,-2.9,0.08
295651,102,6670.2,-3.05,0.08
295652,102.2,6675.3,-2.97,0.08
295653,102.4,6680.6,-2.81,0.08
295654,102.6,6685.8,-2.86,0.08
295655,102.8,6691.2,-2.92,0.08
295656,103,6696.5,-2.72,0.08
295657,103.2,6701.9,-2.71,0.08
295658,103.4,6707.3,-2.91,0.08
295659,103.6,6712.8,-2.77,0.08
295660,103.8,6718.3,-2.74,0.08
295661,104,6723.8,-2.88,0.08
295662,104.2,6729.3,-2.71,0.08
295663,104.4,6734.8,-2.73,0.08
295664,104.6,6740.3,-2.79,0.08
295665,104.8,6745.8,-2.81,0.08
295666,105,6751.3,-2.98,0.08
295667,105.2,6756.8,-2.98,0.08
295668,105.4,6762.2,-3,0.08
295669,105.6,6767.7,-2.95,0.08
295670,105.8,6773.1,-2.92,0.08
295671,106,6778.6,-2.97,0.08
295672,106.2,6784,-3.1,0.08
295673,106.4,6789.3,-2.99,0.08
295674,106.6,6794.7,-2.95,0.08
295675,106.8,6800,-2.87,0.08
295676,107,6805.3,-2.89,0.08
295677,107.2,6810.6,-2.74,0.08
295678,107.4,6815.9,-2.91,0.08
295679,107.6,6821.2,-3.02,0.08
295680,107.8,6826.4,-2.79,0.08
295681,108,6831.7,-2.89,0.08
295682,108.2,6837,-2.74,0.08
295683,108.4,6842.3,-2.75,0.08
295684,108.6,6847.6,-2.72,0.08
295685,108.8,6852.9,-2.73,0.08
295686,109,6858.1,-2.79,0.08
295687,109.2,6863.4,-2.78,0.08
