sample_id,depth_mm,age_BP,d18O,d18O_prec,Mg_Ca,Mg_Ca_prec
379305,16.4,8767,-2.28,0.08,25.29787,NA
379306,16.5,8779,-2.29,0.08,26.32436,NA
379307,16.6,8791,-2.23,0.08,26.43661,NA
379308,16.7,8803,-2.16,0.08,24.46065,NA
379309,16.8,8814,-2.63,0.08,25.20756,NA
379310,16.9,8826,-3.23,0.08,25.64523,NA
379311,17,8837,-2.14,0.08,22.16359,NA
379312,17.1,8849,-1.99,0.08,23.34324,NA
379313,17.2,8861,-1.87,0.08,25.64424,NA
379314,17.3,8872,-1.68,0.08,23.69601,NA
379315,17.4,8884,-1.71,0.08,24.12345,NA
379316,17.5,8895,-1.61,0.08,27.17106,NA
379317,17.6,8907,-1.69,0.08,29.02228,NA
379318,17.7,8918,-1.77,0.08,26.36765,NA
379319,17.8,8930,-1.71,0.08,28.52482,NA
379320,17.9,8941,-1.18,0.08,25.85671,NA
379321,18,8953,-1.13,0.08,26.5362,NA
379322,18.1,8964,-1.16,0.08,27.76289,NA
379323,18.2,8976,-1.22,0.08,26.14068,NA
379324,18.3,8988,-1.24,0.08,28.52501,NA
379325,18.4,8999,-1.25,0.08,29.53637,NA
379326,18.5,9011,-1.27,0.08,28.08398,NA
379327,18.6,9022,-1.41,0.08,34.01863,NA
379328,18.7,9034,-1.55,0.08,26.26435,NA
379329,18.8,9045,-1.31,0.08,21.67643,NA
379330,18.9,9057,-1.11,0.08,25.38813,NA
379331,19,9068,-0.75,0.08,26.83454,NA
379332,19.1,9080,-0.77,0.08,29.26495,NA
379333,19.2,9091,-0.97,0.08,26.13249,NA
379334,19.3,9103,-0.93,0.08,28.89553,NA
379335,19.4,9114,-1.09,0.08,24.49991,NA
379336,19.5,9126,-0.91,0.08,23.17369,NA
379337,19.6,9137,-1.09,0.08,28.7347,NA
379338,19.7,9149,-1.21,0.08,21.83856,NA
379339,19.8,9160,-1.07,0.08,24.79618,NA
379340,19.9,9172,-0.9,0.08,22.55888,NA
379341,20,9183,-0.93,0.08,22.12355,NA
379342,20.1,9194,-0.98,0.08,24.8515,NA
379343,20.2,9206,-1,0.08,23.38687,NA
379344,20.3,9217,-1.21,0.08,19.88585,NA
379345,20.4,9228,-1.34,0.08,19.90511,NA
379346,20.5,9240,-1.55,0.08,20.96246,NA
379347,20.6,9251,-1.17,0.08,22.90748,NA
379348,20.7,9262,-1.44,0.08,22.17546,NA
379349,20.8,9273,-1.26,0.08,21.48216,NA
379350,20.9,9285,-1.19,0.08,21.98425,NA
379351,21,9296,-1.24,0.08,24.94057,NA
379352,21.1,9307,-1.14,0.08,23.44121,NA
379353,21.2,9319,-1.16,0.08,23.63457,NA
379354,21.3,9330,-1.2,0.08,23.03468,NA
379355,21.4,9341,-1.57,0.08,22.77595,NA
379356,21.5,9353,-1.38,0.08,24.28502,NA
379357,21.6,9364,-1.13,0.08,27.02359,NA
379358,21.7,9375,-0.94,0.08,26.17723,NA
379359,21.8,9387,-1.21,0.08,25.19341,NA
379360,21.9,9398,-1.35,0.08,21.14191,NA
