year_CE,d18O
173.7,-3.8000
174.3,-3.8200
174.9,-3.9000
175.4,-3.7200
176.0,-3.5900
176.5,-3.6600
177.1,-3.5900
177.7,-3.5900
178.2,-3.5000
178.8,-3.6200
179.4,-3.5100
179.9,-3.7000
180.5,-3.7900
181.1,-3.6900
181.6,-3.7800
182.2,-3.5700
182.8,-3.5300
183.3,-3.6400
183.9,-3.5200
184.4,-3.6000
185.0,-3.6200
185.5,-3.6400
186.1,-3.5900
186.7,-3.6800
187.2,-3.6500
187.8,-3.7000
188.4,-3.7800
188.9,-3.6300
189.5,-3.7600
190.0,-3.5100
190.6,-3.5500
191.2,-3.6100
191.7,-3.5400
192.3,-3.5900
192.9,-3.6700
193.4,-3.4900
194.0,-3.4900
194.5,-3.4200
195.1,-3.5200
195.6,-3.8300
196.2,-3.1500
196.8,-2.9600
197.3,-3.0400
197.9,-2.9800
198.5,-3.0400
199.0,-3.0700
199.6,-3.0200
200.1,-3.4600
200.7,-3.1200
201.3,-3.2200
201.8,-3.3300
202.4,-3.2100
203.0,-3.5900
203.5,-3.3300
204.1,-3.5800
204.7,-3.2500
205.2,-3.3800
205.8,-3.4000
206.3,-3.3200
206.9,-3.2500
207.4,-3.3200
208.0,-3.2600
208.6,-3.1800
209.2,-3.3000
209.7,-3.2900
210.3,-3.4300
210.9,-3.2900
211.4,-3.3100
212.0,-3.4000
212.5,-3.3600
213.1,-3.5100
213.6,-3.5500
214.2,-3.6500
214.7,-3.9000
215.3,-3.6600
215.9,-3.8100
216.4,-3.9500
217.0,-3.5800
217.5,-3.6100
218.1,-4.1300
218.7,-3.9000
219.2,-3.9200
219.8,-3.8600
220.4,-3.7300
220.9,-3.8700
221.4,-3.9000
222.0,-3.6700
222.5,-3.6700
223.1,-3.6300
223.7,-3.7900
224.2,-3.7300
224.8,-3.7000
225.4,-3.6400
225.9,-3.5800
226.5,-3.6600
227.0,-3.6500
227.6,-3.8200
228.2,-3.8800
228.8,-3.8500
229.3,-3.8900
229.8,-3.7800
230.4,-3.7100
231.0,-3.6500
231.5,-3.4500
232.1,-3.4000
232.6,-3.2300
233.2,-3.2400
233.8,-3.2100
234.3,-3.2700
234.8,-3.2700
235.4,-3.2000
236.0,-3.3000
236.5,-3.4300
237.1,-3.4000
237.6,-3.4400
238.2,-3.4900
238.8,-3.4400
239.3,-3.3800
239.9,-3.3300
240.4,-3.2700
241.0,-3.4400
241.6,-3.3900
242.1,-3.4000
242.7,-3.3400
243.3,-3.3500
243.8,-3.2900
244.4,-3.3300
244.9,-3.3000
245.5,-3.3100
246.0,-3.3700
246.6,-3.4000
247.2,-3.4900
247.7,-3.5500
248.3,-3.5800
248.8,-3.4700
249.3,-3.5800
249.9,-3.5000
250.5,-3.3100
251.1,-3.5100
251.6,-3.3500
252.1,-3.3500
252.7,-3.3900
253.3,-3.5200
253.8,-3.4500
254.4,-3.2700
254.9,-3.5900
255.5,-3.4400
256.0,-3.4600
256.6,-3.3500
257.2,-3.2500
257.7,-3.4100
258.3,-3.2500
258.8,-3.3500
259.4,-3.5800
260.0,-3.6600
260.5,-3.4300
261.1,-3.6400
261.6,-3.6700
262.2,-3.5200
262.8,-3.5300
263.3,-3.6000
263.9,-3.4800
264.5,-3.6700
265.1,-3.6800
265.6,-3.6300
266.1,-3.6000
266.7,-3.5300
267.3,-3.5800
267.8,-3.3800
268.4,-3.3400
269.0,-3.3200
269.5,-3.3800
270.1,-3.4500
270.6,-3.5300
271.2,-3.3800
271.8,-3.4000
272.3,-3.4200
272.9,-3.3300
273.4,-3.2200
274.0,-3.1500
274.6,-3.2100
275.1,-3.3300
275.7,-3.2100
276.2,-3.1700
276.8,-3.2800
277.4,-3.3600
277.9,-3.2000
278.5,-3.3000
279.0,-3.5800
279.6,-3.2600
280.2,-3.1800
280.7,-3.2000
281.3,-3.2900
281.9,-3.3600
282.6,-3.3800
283.3,-3.3000
284.0,-3.4700
284.7,-3.4000
286.2,-3.3300
286.9,-3.3200
287.7,-3.6100
288.4,-3.3700
289.2,-3.5100
289.9,-3.2900
290.6,-3.2900
291.3,-3.5900
292.0,-3.6400
292.8,-3.3700
293.5,-3.4000
294.2,-3.2300
295.0,-3.1900
295.7,-3.1800
296.5,-3.1900
297.3,-3.6100
298.0,-3.4800
298.8,-3.3900
299.5,-3.8000
300.3,-3.3600
301.0,-3.3500
301.7,-3.4300
302.4,-3.4000
303.2,-3.5800
303.9,-3.6700
304.6,-3.5100
305.3,-3.5200
306.1,-3.5900
306.8,-3.5500
307.5,-3.7300
308.2,-3.5800
308.9,-3.7400
309.7,-3.4600
310.4,-3.5000
311.1,-3.9500
311.8,-3.4800
312.6,-3.4300
313.3,-3.6500
314.0,-3.8000
314.7,-3.6400
315.5,-3.6800
316.2,-3.6300
316.9,-3.6900
317.7,-3.6700
318.4,-3.6700
319.1,-3.6000
