sample_id,age_BP,d18O_measurement,d13C_measurement,Mg_Ca_measurement,Sr_Ca_measurement,U_Ca_measurement,P_Ca_measurement,Ba_Ca_measurement,year_CE
166800,6529.930673,-9.098,-4.73,,,,,,-4579.930673
166799,6528.063624,-9.155,-4.777,,,,,,-4578.063624
166798,6526.143367,-9.054,-4.786,,,,,,-4576.143367
166797,6524.301146,-9.17,-4.783,,,,,,-4574.301146
166796,6522.595452,-9.109,-4.787,,,,,,-4572.595452
166795,6520.541478,-9.246,-4.884,,,,,,-4570.541478
166794,6518.633995,-9.079,-4.777,,,,,,-4568.633995
166793,6516.756651,-9.01,-4.718,,,,,,-4566.756651
166792,6514.700295,-9.009,-4.765,,,,,,-4564.700295
166791,6512.609386,-9.128,-4.897,,,,,,-4562.609386
166790,6510.501646,-9.019,-4.762,,,,,,-4560.501646
166789,6508.55782,-8.921,-4.844,,,,,,-4558.55782
166788,6506.493539,-8.846,-4.871,,,,,,-4556.493539
166787,6504.950283,-8.995,-4.978,,,,,,-4554.950283
166786,6503.25206,-9.019,-4.937,,,,,,-4553.25206
166785,6501.044387,-8.986,-4.952,,,,,,-4551.044387
166784,6499.254996,-9.168,-4.914,,,,,,-4549.254996
166783,6497.399117,-8.969,-4.936,,,,,,-4547.399117
166782,6495.665024,-9.013,-4.937,,,,,,-4545.665024
166781,6493.644844,-8.932,-4.945,,,,,,-4543.644844
166780,6491.982284,-8.967,-4.949,,,,,,-4541.982284
166779,6490.294142,-8.9,-4.862,,,,,,-4540.294142
166778,6488.57603,-8.962,-4.815,,,,,,-4538.57603
166777,6486.570168,-8.914,-4.867,,,,,,-4536.570168
166776,6484.413661,-9.085,-4.866,,,,,,-4534.413661
166775,6482.633588,-8.929,-4.869,,,,,,-4532.633588
166774,6480.745753,-8.978,-4.85,,,,,,-4530.745753
166773,6478.704481,-8.843,-4.932,,,,,,-4528.704481
166772,6474.996355,-9.0,-4.962,,,,,,-4524.996355
166771,6473.181417,-8.893,-4.587,,,,,,-4523.181417
166770,6471.140238,-8.911,-4.803,,,,,,-4521.140238
166769,6469.061068,-8.849,-4.624,,,,,,-4519.061068
166768,6467.223505,-8.927,-4.617,,,,,,-4517.223505
166767,6465.3528,-8.803,-4.643,,,,,,-4515.3528
166766,6463.627463,-9.122,-4.634,,,,,,-4513.627463
166765,6461.837539,-8.994,-4.664,,,,,,-4511.837539
166764,6459.834753,-8.768,-4.619,,,,,,-4509.834753
166763,6457.887393,-9.089,-4.704,,,,,,-4507.887393
166762,6456.021931,-8.885,-4.744,,,,,,-4506.021931
166761,6454.335837,-8.954,-4.755,,,,,,-4504.335837
166760,6452.365081,-8.902,-4.822,,,,,,-4502.365081
166759,6450.707451,-8.942,-4.784,,,,,,-4500.707451
166758,6448.765982,-8.873,-4.811,,,,,,-4498.765982
166757,6446.783926,-9.013,-4.767,,,,,,-4496.783926
166756,6422.913938,-8.95,-4.719,,,,,,-4472.913938
166755,6421.517691,-9.014,-4.672,,,,,,-4471.517691
166754,6419.480972,-9.044,-4.654,,,,,,-4469.480972
166753,6416.887605,-8.913,-4.633,,,,,,-4466.887605
166752,6413.69408,-9.057,-4.691,,,,,,-4463.69408
166751,6410.491565,-8.974,-4.698,,,,,,-4460.491565
166750,6407.533726,-9.037,-4.724,,,,,,-4457.533726
166749,6404.525215,-8.963,-4.705,,,,,,-4454.525215
166748,6401.319115,-9.061,-4.763,,,,,,-4451.319115
166747,6398.15689,-9.037,-4.786,,,,,,-4448.15689
166746,6394.859568,-9.131,-4.782,,,,,,-4444.859568
166745,6391.7346,-8.995,-4.77,,,,,,-4441.7346
166744,6388.576227,-9.067,-4.757,,,,,,-4438.576227
166743,6385.65008,-9.059,-4.781,,,,,,-4435.65008
166742,6382.702617,-9.134,-4.718,,,,,,-4432.702617
166741,6379.93534,-9.127,-4.764,,,,,,-4429.93534
