EqID,Year,Mo,Da,Imax,ImaxNum,MdpN,dist_km
14680606_1030_000,1468,6.0,6.0,5,5.0,3,319.8023866235529
14690407_0625_000,1469,4.0,7.0,5,5.0,1,247.90330681598167
14700411_0000_000,1470,4.0,11.0,8,8.0,1,226.38053751052348
14710000_0000_001,1471,,,F,3.9,1,223.40916220216104
14710300_0000_000,1471,3.0,,5,5.0,1,362.0929128504026
14710815_1640_000,1471,8.0,15.0,5,5.0,1,223.40916220216104
14720514_0000_001,1472,5.0,14.0,D,6.4,2,357.30208490797855
14720000_0000_002,1472,,,7,7.0,1,348.87432662277155
14730202_0000_000,1473,2.0,2.0,5-6,5.5,1,348.87432662277155
14730507_0745_000,1473,5.0,7.0,5,5.0,5,139.52339212470397
14740311_2030_000,1474,3.0,11.0,6,6.0,3,187.25985953934645
14770130_1600_000,1477,1.0,30.0,5-6,5.5,1,385.75919870525087
14770203_0100_000,1477,2.0,3.0,7-8,7.5,3,355.6414723308862
14791010_2200_000,1479,10.0,10.0,6,6.0,2,306.3801336859133
14810507_1415_000,1481,5.0,7.0,8,8.0,6,153.45269164172805
14810207_2245_000,1481,2.0,7.0,5,5.0,2,184.7569535779271
14810206_2115_000,1481,2.0,6.0,5-6,5.5,4,153.88253360417986
14810207_0620_000,1481,2.0,7.0,5-6,5.5,1,187.14614139361882
14830303_2200_000,1483,3.0,3.0,5-6,5.5,1,282.3935562978776
14830811_1940_000,1483,8.0,11.0,8-9,8.5,14,247.90330681598167
14840000_0000_001,1484,,,7,7.0,1,322.06670627283336
14850000_0000_000,1485,,,5,5.0,1,203.14390282186633
14850901_0000_000,1485,9.0,1.0,5-6,5.5,4,203.14390282186633
14860930_0000_000,1486,9.0,30.0,5-6,5.5,1,267.36572148963563
14870111_1540_000,1487,1.0,11.0,5,5.0,2,264.19027384923237
14890000_0000_002,1489,,,7,7.0,1,322.06670627283336
14910124_2350_000,1491,1.0,24.0,D,6.4,1,322.96026657246875
14920100_0000_000,1492,1.0,,6-7,6.5,1,306.3801336859133
14940613_0000_000,1494,6.0,13.0,5-6,5.5,2,88.72017613938851
14960604_0000_001,1496,6.0,4.0,5,5.0,1,267.36572148963563
14960600_0000_000,1496,6.0,,6,6.0,3,352.7620608387469
14960604_0000_000,1496,6.0,4.0,7,7.0,1,267.36572148963563
14980411_0000_000,1498,4.0,11.0,6-7,6.5,2,267.36572148963563
