EqID,Year,Mo,Da,Imax,ImaxNum,MdpN
19960711_1909_000,1996,7.0,11.0,5-6,5.5,80
19980326_1626_000,1998,3.0,26.0,6-7,6.5,409
19980831_0232_000,1998,8.0,31.0,4-5,4.5,77
20000821_1714_000,2000,8.0,21.0,6,6.0,595
20010206_2228_000,2001,2.0,6.0,5,5.0,47
20010225_1834_000,2001,2.0,25.0,5-6,5.5,59
20010718_2247_000,2001,7.0,18.0,5-6,5.5,253
20020618_2223_000,2002,6.0,18.0,4,4.0,186
20021113_1048_000,2002,11.0,13.0,5,5.0,768
20030411_0926_000,2003,4.0,11.0,7,7.0,78
20041124_2259_000,2004,11.0,24.0,7-8,7.5,176
20050413_1846_000,2005,4.0,13.0,4,4.0,163
20050418_1059_000,2005,4.0,18.0,4,4.0,284
20081223_1524_000,2008,12.0,23.0,7,7.0,291
20110725_1231_000,2011,7.0,25.0,5-6,5.5,105
20110717_1830_000,2011,7.0,17.0,5,5.0,73
20161030_0640_000,2016,10.0,30.0,11,11.0,379
